CODIGO;DESCRIPCION;EXISTENCIA;PRECIO
BAR-B-55CM-150LED;BARRA LED DE 55CM TIPO ESTADIO A LOS  LADOS;1.00;450.00
BAR-GM-59CM;BARRA LED GEL 59CM MULTIFUNCION #80076;1.00;285.00
BAR-GM-73CM;BARRA LED GEL 73CM MULTIFUNCION #80083;3.00;352.00
BAR-GM-88CM;BARRA LED GEL 88CM MULTIFUNCION #80090;3.00;466.00
BARRA-24L;BARRA DE ALTA INTENCIDAD DE 24 LED;3.00;170.00
BARRA-L10CM;BARRA DE 10CM LARGO ALTA INTENCIDAD;29.00;60.00
BARR-L35cm;BARRA LED 35cm DE LARGO ALTA INTENCIDAD;2.00;249.00
BAR-S-18CM;BARRA LED SLIM 18CM LINGOTE COLORES;1.00;100.00
BAS-SIL1709L;BASE DE SILVIN DE 22R IZQUIERDO;23.00;63.00
BAS-SIL1709R;BASE DE SILVIN DE 22R DERECHO;14.00;63.00
BG-41654;BOMBA MECANICA GAS TOY 22R;5.00;118.00
BOC-3T;BOCINA DE 3 TONOS CON CONTROL 30W;6.00;45.00
BOC-C;BOCINA CARACOL 12V KIT 2PZ;3.00;54.00
BOC-DC;BOCINA DISCO 12V CROMADA BLISTER;24.00;33.00
BOM-1034-12V;BOMBILLA 2 CONT (1034) 12V;2020.00;1.10
BOM-1073-12V;BOMBILLA 1 CONT (1073) 12V 32CP;2230.00;1.10
BOM-158-12V;BOMBILLA DE PESCADITO CLARA 12V;1459.00;0.70
BOM-158l-7C;BOMBILLA LED BLISTER 7COLORES CABEZA PLANA;2.00;8.00
BOM-158L-B;BOMBILLA LED BLISTER 158 BLANCO;17.00;7.00
BOM-158L-R;BOMBILLA LED BLISTER ROJA CABEZA PLANA;71.00;7.00
BOM-158L-Z;BOMBILLA LED BLISTER CABEZA PLANA AZUL;51.00;7.00
BOM-3156;BOMBILLA DE 1 CONTACTO CLARA VIBRIO Y PLASTICO;60.00;6.00
BOM-3156R;BOMBILLA 1 CONTACTO ROJO VIDRIOY PLASTICO;40.00;6.00
BOM-3156Z;BOMBILLA 1 CONTACTO AZUL VIDRIO Y PLASTICO;40.00;6.00
BOM-53;BOMBILLA LAMP. 53 12V 3W;97.00;0.90
BOM-57;BOMBILLA LAMP 57 12V 3W;30.00;0.80
BOM-67-12;BOMBILLA 1 CONTACTO MEDIANA 67 12V;1500.00;0.90
BOM-CHIP-CONT;BOMBILLA LED TIPO CHIP MULTI COLOR CON CONTROL;89.00;50.00
BOM-T20-1;BOMBILLA-T20-1 CONTACTOS;100.00;6.00
BOM-T20-2;BOMBILLA-T20-2 CONTACTOS;130.00;6.00
BP4K-28-170DN;CABEZAL ESTABILIZADOR MAZDA 3 03-11 TRAS. R/L BP4K-28-170D;56.00;60.00
BP4K-34-170DN;CABEZAL ESTABILIZADOR MAZDA 3 DELANTERO 03 DEL R/L SL-1650;44.00;68.00
BRAZ-22R;BRAZO PARABRISAS ATORNILLADO TOYOTA  PAR;12.00;70.00
CAB-12NC;CABLE ELECTRICO COBRE 100%  100PIES  #12 NEGRO;1.00;213.00
CAB-12RC;CABLE ELECTRICO COBRE 100%  100PIES  #12 ROJO;4.00;213.00
CAB-14NC;CABLE ELECTRICO COBRE 100%  100PIES #14NEGRO;13.00;145.00
CAB-14R;CABLE No. 14 ROJO ROLLO DE 100 PIES;1.00;46.20
CAB-14RC;CABLE ELECTTRICO COBRE 100% 100PIES #14ROJO;5.00;145.00
CAB-16NC;CABLE ELECTRICO COBRE 100% 100PIES #16 NEGRO;17.00;92.00
CAB-16RC;CABLE ELECTRICO COBRE100% 100PIES #16 ROJO;6.00;92.00
CAB-18NC;CABLE No. 18 NEGRO ROLLO DE 100 PIES;5.00;71.00
CAB-18RC;CABLE No. 18 ROJO ROLLO DE 100 PIES;5.00;71.00
CAB-BATC-N;CABLE PARA BATERIA 100% COBRE COLOR NEGRO (PIE);92.00;27.00
CAB-BATC-N24V;CABLE PARA BATERIA COLOR NEGRO 24VOLTIOS (PIE);35.00;63.00
CAB-BOC;CABLE PARA BOCINA;4.00;140.00
CAB-CNEGAT24;"CABLE NEGATIVO DE CARRO NEGRO 24""";7.00;44.00
CAB-CNEGAT50;"CABLE NEGATIVO DE CARRO NEGRO 50""";4.00;56.00
CAB-CPOSIT20;"CABLE POSITIVO DE CARRO ROJO 20""";1.00;39.00
CAB-CPOSIT24;"CABLE POSITIVO DE CARRO ROJO 24""";7.00;44.00
CAB-CPOSIT50;"CABLE POSITIVO DE CARRO ROJO 50""";1.00;56.00
CAB-PAS 2000;JUEGO DE CABLES PASA CORRIENTE DE 2000AMP;5.00;150.00
CAB-PAS 3000;JUEGO DE CABLES PASA CORRIENTE DE 3000AMP;5.00;180.00
CAB-PAS 400;JUEGO DE CABLES PASACORRIENTE DE 400AMP;3.00;83.00
